t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,18.184112,3480,834,962,183,1145,,"Headline: Initial exploration and resource gathering with available terrain.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the area around (1, -3) and (-5, 0), gathering wood from nearb ...<snip>"
0,predict_history_k5,predict,ok,6.650035,4088,924,1189,195,1384,,Headline: Resource gathering and survival stabilization expected before floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the water and tree clusters ...<snip>
283,predict_state_only,predict,ok,6.465224,3879,856,1182,189,1371,,"Headline: Resource gathering and tool upgrade phase with potential for early exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely gathers stones from 3, -4 and 4, -4 to upgrade tools, usin ...<snip>"
283,predict_history_k5,predict,ok,7.132049,7832,937,3178,204,3382,,Headline: Resource gathering and threat management will dominate the next phase.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to collect stone and prepare for tool upgrade ...<snip>
298,predict_state_only,predict,ok,6.812764,4640,919,1620,199,1819,,"Headline: Initial exploration and resource gathering with potential for tool upgrades.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at row -1, column 0, seeking the f ...<snip>"
298,predict_history_k5,predict,ok,7.254119,10200,944,4559,203,4762,,"Headline: Ladder descent likely triggers floor 1 exploration and resource gathering.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely moves left towards the stone cluster, using the torch to illumi ...<snip>"
1310,predict_state_only,predict,ok,6.077291,4703,853,1653,178,1831,,"Headline: Initial exploration and resource gathering with accessible path segments.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves along the path at -1, 0 and explores the fountain, repleni ...<snip>"
1310,predict_history_k5,predict,ok,7.84871,13320,1048,6262,217,6479,,"Headline: Resource gathering and ladder progression likely dominate the next phase.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right towards the fountain and Snail on path, u ...<snip>"
1450,predict_state_only,predict,ok,6.400788,4723,814,1665,187,1852,,"Headline: Initial exploration and resource gathering in a confined area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0,0) to explore the open area, gathering woo ...<snip>"
1450,predict_history_k5,predict,ok,7.169191,13484,863,6347,196,6543,,Headline: Player likely continues leftward movement toward stone resources before engaging in combat.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left toward the stone cluster ...<snip>
2180,predict_state_only,predict,ok,7.587033,4726,935,1659,223,1882,,"Headline: Initial exploration and resource refinement before floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and (1, -1), encountering a sn ...<snip>"
2180,predict_history_k5,predict,ok,7.759196,13618,1048,6385,214,6599,,"Headline: Player likely continues descending toward the ladder, with resource gathering and threat management as key near-term priorities.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues ...<snip>"
2195,predict_state_only,predict,ok,6.753463,4709,887,1634,198,1832,,"Headline: Initial exploration and resource gathering in a partially mapped corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0,-4) and explores the corridor, ...<snip>"
2195,predict_history_k5,predict,ok,7.280599,13906,931,6403,200,6603,,"Headline: Progression likely resumes with tool upgrades and floor exploration.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather remaining stone, upgrading tools from ...<snip>"
