t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,621.716479,3491,1272,1003,283,1286,,"Headline: Immediate resource acquisition and tool upgrade on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves to the cluster of trees at (-3,-3) and (1,-3) to gather wood, as the inv ...<snip>"
0,predict_history_k5,predict,ok,18.271811,4099,1371,1234,312,1546,,"Headline: Immediate resource gathering and tool crafting on Floor 0 likely precedes any descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves towards the nearest tree cluster (likely at 1, -3 or ...<snip>"
283,predict_state_only,predict,ok,16.903991,3890,1243,1223,288,1511,,"Headline: Immediate food acquisition and tool upgrade on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+3] The player will likely engage the Cow at (1, 0) to secure food, as current Food (2) is dangerously l ...<snip>"
283,predict_history_k5,predict,ok,18.889586,7843,1426,3226,317,3543,,Headline: Immediate resource gathering and intrinsic stabilization likely precedes further exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player will likely move left to mine the visible stone clu ...<snip>
298,predict_state_only,predict,ok,17.704222,4651,1311,1661,302,1963,,"Headline: Immediate resource consolidation and ladder preparation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player will likely move right to (0, 0) to interact with the ladder, checking its st ...<snip>"
298,predict_history_k5,predict,ok,17.500013,10211,1149,4607,287,4894,,"Headline: Immediate resource gathering near the fountain and torch, followed by floor clearing to open the ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves to (0, -1) to drink from the fount ...<snip>"
1310,predict_state_only,predict,ok,19.134322,4714,1393,1694,327,2021,,"Headline: Immediate resource consolidation and tool upgrade on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves to (1, 0) to drink from the fountain, restoring Drink to 9 and ensurin ...<snip>"
1310,predict_history_k5,predict,ok,19.365895,13331,1248,6310,313,6623,,"Headline: Player likely engages the Snail at (3,0) before securing resources or descending.  Meaningful events (ordered): 1. [t+1 to t+3] The player will likely engage and defeat the Snail at (3,0) using the Iron ...<snip>"
1450,predict_state_only,predict,ok,15.268165,4734,1085,1706,259,1965,,"Headline: Securing the fountain and preparing for floor descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right to (0,0) then south to (3,0) to reach the fountain, likely refilling Drink to  ...<snip>"
1450,predict_history_k5,predict,ok,18.520802,13495,1230,6395,294,6689,,"Headline: Player likely navigates leftward corridor to clear darkness and locate the fountain before descending.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left along the path, illu ...<snip>"
2180,predict_state_only,predict,ok,13.830923,4737,989,1700,234,1934,,"Headline: Securing the fountain and clearing the immediate path on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves to (3, 2) to drink from the fountain, ensuring Drink remains high  ...<snip>"
2180,predict_history_k5,predict,ok,18.967939,13629,1281,6433,306,6739,,"Headline: Player likely engages nearby snails and clears the immediate corridor before descending.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right to engage the snail at (4, -1) and the snail ...<snip>"
2195,predict_state_only,predict,ok,19.022315,4720,1344,1673,324,1997,,"Headline: Securing the ladder and clearing floor 2 for descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely descends to floor 3 immediately, as the ladder at (0,0) is currently open and the cu ...<snip>"
2195,predict_history_k5,predict,ok,18.626687,13917,1230,6447,300,6747,,Headline: Immediate exploration of Floor 2 likely yields resources before the ladder opens.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left along the path at Row 0 to clear the dark ...<snip>
