t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,86.450949,3333,1082,985,244,1229,,"Headline: Immediate survival stabilization followed by vertical progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely descends the open ladder to Floor -1 to access the water source at (-5, ...<snip>"
0,predict_history_k5,predict,ok,9.340375,4013,1240,1218,277,1495,,"Headline: Immediate resource acquisition and vertical descent initiation expected.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves toward the nearest trees (e.g., at 2,-4 or -3,-3) to gather ...<snip>"
283,predict_state_only,predict,ok,8.654376,3734,1145,1207,257,1464,,"Headline: Critical survival intervention followed by immediate tool upgrade and descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player must immediately consume the 2 food units to prevent Health decay, ...<snip>"
283,predict_history_k5,predict,ok,8.254096,7759,1126,3212,230,3442,,"Headline: Survival stabilization and resource consolidation precede immediate progression.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely prioritizes consuming food to prevent health decay, given ...<snip>"
298,predict_state_only,predict,ok,10.452597,4495,1350,1645,309,1954,,"Headline: Survival stabilization followed by immediate tool upgrade and descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely consumes food/drink to stabilize intrinsics, as current reserves (F ...<snip>"
298,predict_history_k5,predict,ok,9.634018,10127,1132,4593,262,4855,,"Headline: Survival stabilization and torching likely precede chest retrieval.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves UP to exit the darkness zone at Row -5, prioritizing light gener ...<snip>"
1310,predict_state_only,predict,ok,9.545172,4559,1169,1679,279,1958,,"Headline: Survival stabilization and vertical progression toward the Overworld exit.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely consumes the 3 green potions to restore Energy and Mana, stabi ...<snip>"
1310,predict_history_k5,predict,ok,8.542082,13248,1056,6297,216,6513,,"Headline: Local resource consolidation and threat neutralization precede descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely continues moving right to clear the Snail at (3,0) and gather near ...<snip>"
1450,predict_state_only,predict,ok,7.700898,4579,972,1691,224,1915,,"Headline: Stabilization and tool upgrade cycle before deepening.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes food/drink to stabilize intrinsics, as current values (Food:9, Drink:8) ar ...<snip>"
1450,predict_history_k5,predict,ok,9.640907,13412,1119,6382,248,6630,,Headline: Local exploration and torching likely precede a shift toward deeper floor progression.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues moving left to clear the immediate darkn ...<snip>
2180,predict_state_only,predict,ok,8.093705,4582,987,1685,237,1922,,"Headline: Mid-game stabilization and vertical progression via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes one Green potion to restore Mana/Health, then moves downward ...<snip>"
2180,predict_history_k5,predict,ok,9.264518,13546,1052,6420,237,6657,,"Headline: Local resource consolidation and threat clearance precede vertical progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues clearing the immediate vicinity (Row -1 to 0, Co ...<snip>"
2195,predict_state_only,predict,ok,8.915543,4565,1129,1658,262,1920,,"Headline: Mid-game stabilization and vertical progression toward the boss.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely descends the ladder to Floor 3, clearing the path and collecting the nea ...<snip>"
2195,predict_history_k5,predict,ok,8.291713,13834,1051,6434,208,6642,,Headline: Descent and stabilization phase likely continues before major progression commitment.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues moving downward and clearing immediate da ...<snip>
