t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,386.464651,3439,728,959,154,1113,,Headline: Initial resource gathering and intrinsic management before floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely gathers wood from nearby trees to craft a pickaxe and manage ...<snip>
0,predict_history_k5,predict,ok,6.700058,4109,986,1188,189,1377,,Headline: Resource gathering and intrinsic management will dominate initial phases before progression attempts.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues current movement and resou ...<snip>
283,predict_state_only,predict,ok,6.323224,3838,778,1179,178,1357,,"Headline: Initial resource gathering and preparation for floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely collects stone from (3, -4) and (4, -4) to supplement existing resources ...<snip>"
283,predict_history_k5,predict,ok,6.96169,7853,908,3177,189,3366,,"Headline: Cow interaction and resource gathering likely dominate near-term actions.  Meaningful events (ordered): 1. [t+1 to t+8] The player is likely to interact with the cow at (1, 0) or continue gathering reso ...<snip>"
298,predict_state_only,predict,ok,6.688883,4599,818,1617,187,1804,,"Headline: Initial exploration and resource gathering ahead.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the path to the left, gathering wood and stone while navigating through the dar ...<snip>"
298,predict_history_k5,predict,ok,6.936341,10221,942,4558,185,4743,,Headline: Resource gathering and intrinsic management will dominate until progression readiness is signaled.  Meaningful events (ordered): 1. [t+1 to t+8] The player will likely continue gathering wood and stone  ...<snip>
1310,predict_state_only,predict,ok,7.296291,4662,862,1650,205,1855,,"Headline: Initial exploration and resource gathering in a partially mapped area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and explores the area, encoun ...<snip>"
1310,predict_history_k5,predict,ok,7.602903,13341,990,6261,198,6459,,Headline: Resource gathering and intrinsic management will likely dominate until floor clearance begins.  Meaningful events (ordered): 1. [t+1 to t+8] The player is likely to continue moving right and gathering r ...<snip>
1450,predict_state_only,predict,ok,6.106964,4682,766,1662,171,1833,,"Headline: Initial exploration and resource gathering on the current floor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the path to the left, gathering wood and stone while managing in ...<snip>"
1450,predict_history_k5,predict,ok,6.991963,13505,930,6346,180,6526,,"Headline: Intrinsics may stabilize before resource-focused movement resumes.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues current movement and resource gathering patterns, with intrin ...<snip>"
2180,predict_state_only,predict,ok,7.034366,4685,851,1656,197,1853,,"Headline: Initial exploration and resource gathering in a partially lit corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and collects the torch and s ...<snip>"
2180,predict_history_k5,predict,ok,7.458786,13639,924,6384,193,6577,,"Headline: Progression intent likely intensifies with ladder usage and threat clearance.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right and descending, with the ladder_down  ...<snip>"
2195,predict_state_only,predict,ok,6.64067,4668,926,1631,186,1817,,"Headline: Initial exploration and resource management before encountering floor-specific challenges.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the path to the left, gathering wood a ...<snip>"
2195,predict_history_k5,predict,ok,7.467079,13927,1008,6402,193,6595,,"Headline: Progression commitment likely follows resource and intrinsic stabilization.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues gathering resources and managing intrinsics, given t ...<snip>"
