t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,71.934282,3491,1222,1003,276,1279,,"Headline: Immediate resource scarcity halts progression until basic survival and tooling are established.  Meaningful events (ordered): 1. [t+1 to t+5] The player must immediately harvest nearby trees (e.g., at - ...<snip>"
0,predict_history_k5,predict,ok,28.17548,4099,1201,1234,284,1518,,"Headline: Initial resource gathering on Floor 0 precedes tool crafting and potential descent.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely moves toward the nearby trees at (2, -4) or (-3, -3)  ...<snip>"
283,predict_state_only,predict,ok,24.746107,3890,1076,1223,251,1474,,"Headline: Immediate food acquisition and tool upgrade before descending to Floor 1.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves right to (1,0) to kill the Cow, prioritizing food intake t ...<snip>"
283,predict_history_k5,predict,ok,32.490067,7843,1380,3226,315,3541,,"Headline: Player prioritizes food replenishment via nearby cow before resuming resource gathering or descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves left to engage the Cow at (1,0), ...<snip>"
298,predict_state_only,predict,ok,34.530773,4651,1557,1661,350,2011,,"Headline: Immediate resource depletion and survival pressure halt floor progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves north to the fountain at (-1, 0) to restore Drink, as the ...<snip>"
298,predict_history_k5,predict,ok,35.539821,10211,1479,4607,335,4942,,Headline: Exploration of Floor 1 likely prioritizes resource gathering and threat clearance to unlock the ladder.  Meaningful events (ordered): 1. [t+1 to t+15] The player likely moves right towards the chest at  ...<snip>
1310,predict_state_only,predict,ok,26.749742,4714,1206,1694,269,1963,,"Headline: Immediate resource consolidation and floor descent on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves right to (3,0) to harvest the Snail for food, addressing the immediat ...<snip>"
1310,predict_history_k5,predict,ok,32.767086,13331,1256,6310,295,6605,,"Headline: Player likely secures hydration at the fountain before engaging the nearby snail or descending.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves to (1,0) to drink from the fountain, ...<snip>"
1450,predict_state_only,predict,ok,30.10855,4734,1368,1706,304,2010,,"Headline: Immediate resource consolidation and floor descent preparation.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves left to interact with the fountain at (-2, 3) or nearby water source ...<snip>"
1450,predict_history_k5,predict,ok,32.435381,13495,1270,6395,291,6686,,"Headline: Player likely continues westward exploration to clear darkness and secure resources before descending.  Meaningful events (ordered): 1. [t+1 to t+10] The player continues moving left, placing torches to ...<snip>"
2180,predict_state_only,predict,ok,29.740394,4737,1280,1700,300,2000,,"Headline: Immediate resource consolidation and floor descent preparation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves to (3, 2) to drink from the fountain, fully restoring Dri ...<snip>"
2180,predict_history_k5,predict,ok,33.976505,13629,1177,6433,308,6741,,"Headline: Player likely engages nearby Snails for XP before descending to Floor 2.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves right or down to engage the Snail at (2,0) or (4,-1), as th ...<snip>"
2195,predict_state_only,predict,ok,30.378984,4720,1356,1673,307,1980,,Headline: High-tier resource utilization and floor clearing on Floor 2 to unlock descent.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely explores the visible path network to locate and engage mo ...<snip>
2195,predict_history_k5,predict,ok,36.521659,13917,1482,6447,333,6780,,"Headline: Floor 2 exploration initiates with threat clearance to unlock descent, prioritizing resource gathering over immediate survival needs.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely mov ...<snip>"
