t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,275.467524,3305,834,925,185,1110,,"Headline: Initial exploration and resource gathering in a clustered forest area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the nearby trees to gather wood and saplings, using the de ...<snip>"
0,predict_history_k5,predict,ok,7.184356,3975,949,1154,183,1337,,"Headline: Resource gathering and intrinsic stabilization will precede floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues exploring nearby trees and water sources, gatheri ...<snip>"
283,predict_state_only,predict,ok,7.799695,3704,933,1145,206,1351,,Headline: Initial exploration and resource gathering ahead with potential progression opportunities.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path toward the cow at (1 ...<snip>
283,predict_history_k5,predict,ok,6.977913,7719,881,3143,181,3324,,"Headline: Resource gathering and threat assessment likely dominate the next phase.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues gathering resources in the current area, focusing on wo ...<snip>"
298,predict_state_only,predict,ok,8.068777,4465,874,1583,213,1796,,"Headline: Initial exploration and resource gathering in a constrained corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at row -1, column -4, encountering wall_m ...<snip>"
298,predict_history_k5,predict,ok,8.175331,10087,1000,4524,206,4730,,"Headline: Progression intent likely accelerates with floor 1 exploration and potential threat clearing.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues exploring floor 1, focusing on gat ...<snip>"
1310,predict_state_only,predict,ok,6.524596,4528,777,1616,172,1788,,"Headline: Initial exploration and resource gathering in a partially mapped area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves left along the path at -4, -4 to gather wood and stone, using ...<snip>"
1310,predict_history_k5,predict,ok,6.754542,13207,831,6227,170,6397,,Headline: Resource gathering and movement patterns likely persist before progression focus.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right and gathering resources in the cu ...<snip>
1450,predict_state_only,predict,ok,7.984894,4548,968,1628,211,1839,,"Headline: Initial exploration and resource gathering in a corridor with a potential progression target.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0,0) and expl ...<snip>"
1450,predict_history_k5,predict,ok,7.468045,13371,937,6312,189,6501,,"Headline: Progression readiness likely follows resource stabilization and threat clearance.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left through the current path, gatherin ...<snip>"
2180,predict_state_only,predict,ok,8.070173,4551,926,1622,213,1835,,"Headline: Initial exploration and resource gathering in a restricted area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves left along the path at -1, -4 to -5, -4, encountering darkness and  ...<snip>"
2180,predict_history_k5,predict,ok,7.660839,13505,981,6350,194,6544,,"Headline: Progression intent likely accelerates after stable intrinsic management.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues descending toward the ladder_down, as the current direc ...<snip>"
2195,predict_state_only,predict,ok,7.281742,4534,863,1597,192,1789,,"Headline: Initial exploration and resource gathering in a partially mapped corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at -4, -4 to -4, 4, gathering wood a ...<snip>"
2195,predict_history_k5,predict,ok,8.681258,13793,1081,6368,213,6581,,"Headline: Progression commitment likely follows resource stabilization and threat clearance.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues exploring the current floor, focusing on gath ...<snip>"
