t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,201.644969,7136,1045,1853,240,2093,,"Headline: Immediate wood gathering and tool crafting to enable stone mining on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves north toward the nearest trees at (-2, -2) or (-3, -3) to har ...<snip>"
0,predict_history_k5,predict,ok,7.533288,7727,953,2087,228,2315,,"Headline: Immediate wood gathering and tool crafting to enable stone progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearest trees (e.g., at 2,-4 or -2,-2) to gather wood, p ...<snip>"
283,predict_state_only,predict,ok,7.601237,7535,966,2073,235,2308,,"Headline: Immediate food acquisition and ladder descent preparation.  Meanful events (ordered): 1. [t+1 to t+3] The player moves right toward the Cow at (1,0) to kill it and eat, raising Food from 2 to 9 to stabi ...<snip>"
283,predict_history_k5,predict,ok,7.18214,11471,931,4079,207,4286,,"Headline: Immediate food acquisition and ladder descent preparation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right toward the Cow at (1,0) to kill it and restore Food, addressing the critic ...<snip>"
298,predict_state_only,predict,ok,8.39588,8296,1126,2511,258,2769,,"Headline: Immediate stone tool upgrade and resource consolidation before ladder descent.  Meanful events (ordered): 1. [t+1 to t+5] The player moves right toward the stone vein at (0, -4) and mines it using the S ...<snip>"
298,predict_history_k5,predict,ok,8.463739,13839,1039,5460,238,5698,,"Headline: Immediate survival stabilization and resource consolidation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the fountain at (-1, 0) to drink, restoring Drink and  ...<snip>"
650,predict_state_only,predict,ok,10.070575,8331,1344,2531,312,2843,,Headline: Immediate survival stabilization followed by stone tool crafting and exploration.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right along the path to locate a safe spot behind the wal ...<snip>
650,predict_history_k5,predict,ok,8.870934,16708,1008,7051,238,7289,,"Headline: Immediate survival maneuver against Orc Mage followed by resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right to engage the Orc Mage at (0,0) using the Iron Sword ...<snip>"
1000,predict_state_only,predict,ok,7.084055,8425,875,2566,215,2781,,"Headline: Immediate ladder descent and floor transition to Floor 2.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder at (0, 3) and descends to Floor 2, gaining 1 XP. 2. [ ...<snip>"
1000,predict_history_k5,predict,ok,8.896047,17307,1017,7291,236,7527,,"Headline: Final floor clear and descent preparation in Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right to clear the remaining darkness and kill any lingering mobs, ensurin ...<snip>"
