t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,349.613159,3333,767,950,164,1114,,"Headline: Immediate resource gathering and tool crafting to enable progression.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely gathers wood from nearby trees to craft a pickaxe, starting resource ...<snip>"
0,predict_history_k5,predict,ok,3.278318,4013,820,1177,164,1341,,Headline: Stabilization and resource gathering will dominate initial phases before progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving and gathering resources in the curr ...<snip>
283,predict_state_only,predict,ok,3.513739,3734,800,1172,176,1348,,"Headline: Early resource gathering and tool refinement before floor descent.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely gathers the stone at 3, -4 and uses the stone pickaxe to extract more r ...<snip>"
283,predict_history_k5,predict,ok,3.722034,7759,922,3168,181,3349,,Headline: Resource gathering and movement patterns likely persist before progression-focused actions.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right and gathering resources ...<snip>
298,predict_state_only,predict,ok,3.519507,4495,829,1610,175,1785,,"Headline: Initial exploration and resource gathering near the fountain and ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely investigates the fountain and ladder, possibly using the stone pi ...<snip>"
298,predict_history_k5,predict,ok,4.6545,10127,1084,4549,223,4772,,"Headline: Ladder descent confirmed, with immediate focus on resource gathering and survival stabilization.  Meaningful events (ordered): 1. [t+1 to t+8] The player will likely gather resources near the fountain a ...<snip>"
1310,predict_state_only,predict,ok,3.689375,4559,814,1644,184,1828,,"Headline: Resource refinement and ladder preparation ahead.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely refines wood and stone for tool upgrades, focusing on the stone pickaxe and possibly cr ...<snip>"
1310,predict_history_k5,predict,ok,4.306904,13248,1014,6253,198,6451,,Headline: Resource gathering and movement patterns likely persist before progression focus.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right and gathering resources in the cu ...<snip>
1450,predict_state_only,predict,ok,3.659435,4579,778,1656,182,1838,,Headline: Early resource setup before first meaningful progression.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely gathers the three stones to the left using the wooden pickaxe.  2. [t+7 to t+18] ...<snip>
1450,predict_history_k5,predict,ok,3.992752,13412,890,6338,182,6520,,"Headline: Ladder usage and resource management likely dominate near-term actions.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left along the path, potentially using torches an ...<snip>"
2180,predict_state_only,predict,ok,3.516846,4582,787,1650,175,1825,,"Headline: Resource refinement and ladder preparation ahead.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely refines wood and stone for better tools, possibly crafting a diamond pickaxe to improve ...<snip>"
2180,predict_history_k5,predict,ok,4.070283,13546,904,6376,186,6562,,"Headline: Progression intent likely intensifies with ladder usage and floor descent.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving downward, using the ladder to descend floors,  ...<snip>"
2195,predict_state_only,predict,ok,3.507169,4565,772,1625,174,1799,,"Headline: Initial exploration and resource gathering near the ladder.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely explores the path to the left of the ladder, gathering wood and stone while a ...<snip>"
2195,predict_history_k5,predict,ok,4.366134,13834,943,6394,201,6595,,"Headline: Ladder descent confirmed, resource gathering likely resumes after floor transition.  Meaningful events (ordered): 1. [t+1 to t+8] The player will likely move left along the path near (0, -4) and gather  ...<snip>"
