t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,275.412469,3305,1092,963,235,1198,,"Headline: Immediate survival stabilization and initial tool acquisition.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely descends to Floor -1 to collect water and food sources, stabilizing intrins ...<snip>"
0,predict_history_k5,predict,ok,11.579332,3975,1087,1196,236,1432,,"Headline: Immediate resource acquisition and stabilization precede any vertical progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves toward the dense tree cluster at (1,1) or (-2,-2) ...<snip>"
283,predict_state_only,predict,ok,14.209112,3704,1269,1183,296,1479,,"Headline: Immediate survival stabilization followed by tool upgrade and initial dungeon descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely consumes food or rests to stabilize Health, which i ...<snip>"
283,predict_history_k5,predict,ok,11.73392,7719,1067,3188,233,3421,,"Headline: Survival stabilization precedes immediate progression due to critical food depletion.  Meanful events (ordered): 1. [t+1 to t+4] The player likely prioritizes gathering food (e.g., hunting the nearby Co ...<snip>"
298,predict_state_only,predict,ok,11.584228,4465,1044,1621,237,1858,,Headline: Immediate survival stabilization followed by vertical progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes the Red Potion and gathers nearby saplings/wood to replenish H ...<snip>
298,predict_history_k5,predict,ok,13.330468,10087,1196,4569,260,4829,,"Headline: Survival stabilization and resource expansion likely precede boss engagement.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely secures immediate safety by moving toward the torch at (-2,  ...<snip>"
1310,predict_state_only,predict,ok,12.598578,4528,1104,1654,260,1914,,"Headline: Survival stabilization and initial combat engagement on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes a green potion to restore Health, as current levels (9.0) are lo ...<snip>"
1310,predict_history_k5,predict,ok,12.112921,13207,1058,6272,225,6497,,"Headline: Local clearing and resource consolidation likely precede the next descent attempt.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right to clear the Snail at (3,0) and  ...<snip>"
1450,predict_state_only,predict,ok,11.281835,4548,943,1666,231,1897,,"Headline: Stabilization and vertical progression toward the boss threshold.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves right to the fountain at (-2, 3) to restore Drink/Energy, then gat ...<snip>"
1450,predict_history_k5,predict,ok,11.494631,13371,1005,6357,211,6568,,Headline: Local resource consolidation and torch placement likely precede deeper dungeon descent.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely continues moving left to clear the immediate dark ...<snip>
2180,predict_state_only,predict,ok,13.184914,4551,1084,1660,271,1931,,Headline: Survival stabilization and tool upgrade before vertical progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes food/drink to stabilize intrinsics and crafts a Stone Pickax ...<snip>
2180,predict_history_k5,predict,ok,16.038449,13505,1364,6395,308,6703,,"Headline: Immediate threat neutralization precedes resource consolidation and vertical progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right to engage the Snail at (4, -1) and t ...<snip>"
2195,predict_state_only,predict,ok,12.890884,4534,1021,1633,266,1899,,Headline: Survival stabilization and initial floor clearing to unlock descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes food/drink to stabilize intrinsics before engaging the immed ...<snip>
2195,predict_history_k5,predict,ok,14.194297,13793,1186,6409,268,6677,,"Headline: Descent preparation likely precedes immediate floor transition due to closed ladder.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely continues clearing the immediate vicinity on Floor 2, ...<snip>"
