policy_id,policy_name,variant_name,checkpoint_path,step,counterfactual_id,counterfactual_description,llm_layer,base_action_id,base_action_name,modified_action_id,modified_action_name,action_changed,base_value,modified_value,value_delta
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,24,3,UP,3,UP,0,8.224981307983398,8.24983024597168,0.02484893798828125
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_drink,Lower drink sharply.,24,3,UP,3,UP,0,8.224981307983398,8.07258415222168,-0.15239715576171875
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_energy,Lower energy sharply.,24,3,UP,3,UP,0,8.224981307983398,8.145304679870605,-0.07967662811279297
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_food,Lower food sharply.,24,3,UP,3,UP,0,8.224981307983398,8.0213041305542,-0.20367717742919922
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_health,Lower health sharply.,24,3,UP,3,UP,0,8.224981307983398,8.279385566711426,0.054404258728027344
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,240,step0240_add_zombie_right,Add a zombie one tile to the right.,24,5,DO,5,DO,0,3.904602527618408,3.897688865661621,-0.006913661956787109
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,24,1,LEFT,1,LEFT,0,2.5298891067504883,2.57635498046875,0.04646587371826172
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,24,19,ASCEND,19,ASCEND,0,0.0934741422533989,0.09337949007749557,-9.465217590332031e-05
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1103,step1103_remove_stone,Remove the nearby stone block.,24,19,ASCEND,19,ASCEND,0,-0.04551706463098526,-0.03580240160226822,0.009714663028717041
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1326,step1326_torch_to_stone,Replace the torch with a stone block.,24,19,ASCEND,19,ASCEND,0,0.022496992722153664,0.03491964191198349,0.012422649189829826
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,24,19,ASCEND,19,ASCEND,0,0.32088103890419006,0.302286833524704,-0.018594205379486084
