t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,36.661133,3480,1178,999,268,1267,,"Headline: Immediate survival stabilization followed by initial resource acquisition.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves downward to the water sources at (-5, -1), (-5, 0), and ( ...<snip>"
0,predict_history_k5,predict,ok,14.199189,4088,1238,1230,285,1515,,"Headline: Initial resource gathering begins as the player moves left toward the dense tree cluster.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely moves left and up to reach the trees at (-3,-3) ...<snip>"
283,predict_state_only,predict,ok,13.481198,3879,1169,1219,270,1489,,"Headline: Immediate survival stabilization followed by stone tool consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the nearby Cow at (1,0) to raise Food from 2 to 9, prevent ...<snip>"
283,predict_history_k5,predict,ok,15.169516,7832,1291,3222,290,3512,,"Headline: Survival stabilization and resource consolidation likely precede dungeon descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right to engage the Cow at (1,0), securing food to ...<snip>"
298,predict_state_only,predict,ok,11.493189,4640,1039,1657,226,1883,,"Headline: Immediate survival stabilization and tool upgrade before floor descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes the nearby fountain water to restore Drink stats, prevent ...<snip>"
298,predict_history_k5,predict,ok,20.96409,10200,1713,4603,401,5004,,"Headline: Survival stabilization and resource consolidation precede further descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves left towards the fountain at (-1, 0) to drink and repleni ...<snip>"
1310,predict_state_only,predict,ok,14.542534,4703,1279,1690,289,1979,,Headline: Immediate survival stabilization followed by targeted tool upgrades.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely consumes the 3 green potions to restore Mana and stabilize intrinsics ...<snip>
1310,predict_history_k5,predict,ok,14.725903,13320,1146,6306,259,6565,,Headline: Player stabilizes intrinsics and clears lateral threats before descending.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely continues moving right to clear the path and engage the Snail a ...<snip>
1450,predict_state_only,predict,ok,11.976138,4723,1040,1702,236,1938,,"Headline: Immediate survival stabilization followed by tool upgrade and vertical progression.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves left to the torch at (-3, 0) to increase light l ...<snip>"
1450,predict_history_k5,predict,ok,16.80685,13484,1384,6391,302,6693,,Headline: Exploration and resource consolidation likely precede the next floor descent.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely continues moving left to clear the darkness and uncover the ...<snip>
2180,predict_state_only,predict,ok,15.758333,4726,1376,1696,314,2010,,Headline: Immediate survival stabilization followed by iron-tier progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the three green potions to replenish Mana and stabilize stats ...<snip>
2180,predict_history_k5,predict,ok,15.546377,13618,1138,6429,275,6704,,"Headline: Player likely descends to Floor 2 to secure the fountain and manage encroaching threats.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves down to Floor 2, where a fountain is locate ...<snip>"
2195,predict_state_only,predict,ok,13.689246,4709,1235,1669,272,1941,,"Headline: Immediate survival stabilization followed by tool upgrades and floor descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely consumes one green potion to restore Mana and Health, ensuri ...<snip>"
2195,predict_history_k5,predict,ok,14.463003,13906,1101,6443,254,6697,,Headline: Descent preparation likely prioritizes resource gathering and threat clearance before ladder access.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather the a ...<snip>
