t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,error,64.773645,6644,0,,,,OSError: [Errno 122] Disk quota exceeded,
0,predict_history_k5,predict,error,0.052721,7235,0,,,,OSError: [Errno 122] Disk quota exceeded,
283,predict_state_only,predict,error,0.053879,7043,0,,,,OSError: [Errno 122] Disk quota exceeded,
283,predict_history_k5,predict,error,0.058093,10979,0,,,,OSError: [Errno 122] Disk quota exceeded,
298,predict_state_only,predict,error,0.052912,7804,0,,,,OSError: [Errno 122] Disk quota exceeded,
298,predict_history_k5,predict,error,0.05159,13347,0,,,,OSError: [Errno 122] Disk quota exceeded,
1310,predict_state_only,predict,error,0.055312,7867,0,,,,OSError: [Errno 122] Disk quota exceeded,
1310,predict_history_k5,predict,error,0.05746,16467,0,,,,OSError: [Errno 122] Disk quota exceeded,
1450,predict_state_only,predict,error,0.055196,7887,0,,,,OSError: [Errno 122] Disk quota exceeded,
1450,predict_history_k5,predict,error,0.052816,16631,0,,,,OSError: [Errno 122] Disk quota exceeded,
2180,predict_state_only,predict,error,0.05513,7890,0,,,,OSError: [Errno 122] Disk quota exceeded,
2180,predict_history_k5,predict,error,0.056025,16765,0,,,,OSError: [Errno 122] Disk quota exceeded,
2195,predict_state_only,predict,error,0.055769,7873,0,,,,OSError: [Errno 122] Disk quota exceeded,
2195,predict_history_k5,predict,error,0.051525,17053,0,,,,OSError: [Errno 122] Disk quota exceeded,
