t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,335.823433,3439,1296,997,300,1297,,"Headline: Immediate survival stabilization followed by vertical progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves upward toward the water source at (-5, 0) to restore Drink and En ...<snip>"
0,predict_history_k5,predict,ok,9.732526,4109,1013,1230,224,1454,,Headline: Initial resource acquisition and intrinsic stabilization precede progression attempts.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues moving upward toward the dense tree clus ...<snip>
283,predict_state_only,predict,ok,11.640693,3838,1108,1217,269,1486,,"Headline: Immediate survival stabilization followed by tool upgrade and descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right to the Cow at (1,0) to harvest meat, restoring Food and ...<snip>"
283,predict_history_k5,predict,ok,12.332641,7853,1303,3222,274,3496,,"Headline: Critical resource depletion imminent; survival loop dominates immediate trajectory.  Meaningful events (ordered): 1. [t+1 to t+4] Food likely drops to 0 due to natural decay, triggering Health decay unl ...<snip>"
298,predict_state_only,predict,ok,9.604487,4599,980,1655,219,1874,,"Headline: Immediate survival stabilization followed by targeted resource acquisition.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves south to the fountain at (0,-1) to restore Drink and sta ...<snip>"
298,predict_history_k5,predict,ok,14.210282,10221,1409,4603,312,4915,,Headline: Survival stabilization precedes progression commitment in a hazardous new floor.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely prioritizes immediate survival by moving toward the visib ...<snip>
1310,predict_state_only,predict,ok,12.507382,4662,1275,1688,288,1976,,"Headline: Survival stabilization and initial tool upgrade before floor descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely consumes a Green potion to restore Health, mitigating the risk of de ...<snip>"
1310,predict_history_k5,predict,ok,12.462721,13341,1183,6306,259,6565,,Headline: Survival stabilization likely precedes progression commitment due to low intrinsics and resource constraints.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely prioritizes consuming Food/D ...<snip>
1450,predict_state_only,predict,ok,11.987992,4682,1222,1700,275,1975,,"Headline: Survival stabilization followed by immediate boss engagement.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves forward along the path to reach the fountain at (-2, 3) to restore Dri ...<snip>"
1450,predict_history_k5,predict,ok,14.144552,13505,1460,6391,298,6689,,Headline: Survival stabilization precedes progression commitment due to low light and resource constraints.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely continues moving left to clear darkness ...<snip>
2180,predict_state_only,predict,ok,13.593791,4685,1215,1694,313,2007,,"Headline: Survival stabilization and tool upgrade before descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely extinguishes the torch at (4, -1) and moves south to the fountain at (3, 2) to res ...<snip>"
2180,predict_history_k5,predict,ok,14.718972,13639,1333,6429,312,6741,,"Headline: Local threat engagement and resource consolidation precede floor descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves DOWN to engage the Snail at (4, -1) and clear the immediat ...<snip>"
2195,predict_state_only,predict,ok,19.31924,4668,1882,1667,450,2117,,"Headline: Survival stabilization and tool upgrade before forced descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the three Green potions to restore Mana and stabilize intrinsics,  ...<snip>"
2195,predict_history_k5,predict,ok,13.950122,13927,1287,6443,294,6737,,Headline: Player stabilizes intrinsics and clears immediate threats to enable floor descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely continues moving left/down to clear the visible path an ...<snip>
