t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,1.672004,6789,743,1760,183,1943,,"Headline: Initial wood gathering and ladder search on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+6] The player moves toward the nearest tree at (-2, -2) or (1, 1) to gather wood, as the inventory is curr ...<snip>"
0,predict_history_k5,predict,ok,1.814425,7380,735,1996,187,2183,,"Headline: Initial wood gathering and ladder search on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+6] The player moves toward the nearest tree (likely at (1, 1) or (-1, 2)) to begin harvesting wood. 2. [t+ ...<snip>"
283,predict_state_only,predict,ok,1.739986,7188,723,2020,173,2193,,"Headline: Hunting for food and navigating to the ladder.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the Cow at (1, 0) and kills it with the iron sword to address the critical food level ...<snip>"
283,predict_history_k5,predict,ok,1.69498,11124,732,4216,171,4387,,"Headline: Hunting for food to stabilize hunger before floor descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the Cow at (1, 0) and uses the Iron Sword to kill it. 2. [t+5 to t+7] The ...<snip>"
298,predict_state_only,predict,ok,1.929903,7949,901,2482,220,2702,,"Headline: Exploration and combat on Floor 1 to unlock the descending ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (-1, 0) to interact with the fountain, topping off Drink to 9 before  ...<snip>"
298,predict_history_k5,predict,ok,2.04155,13492,799,5690,191,5881,,"Headline: Initial exploration and resource gathering on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the fountain at (-1, 0) to top off the Drink stat before deep exploration. 2. ...<snip>"
1310,predict_state_only,predict,ok,1.836543,8012,834,2494,210,2704,,"Headline: Navigating toward the open ladder on Floor 1 while maintaining vitals.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the fountain at (1, 0) to top off the drink stat from 8 to 9, ...<snip>"
1310,predict_history_k5,predict,ok,1.808067,16612,764,7324,185,7509,,"Headline: Hydration and snail elimination before floor 1 ladder search.  Meaningful events (ordered): 1. [t+1 to t+2] The player uses the fountain at (1,0) to restore Drink to 9. 2. [t+3 to t+6] The player moves  ...<snip>"
1450,predict_state_only,predict,ok,1.924823,8032,815,2500,197,2697,,"Headline: Navigating Floor 1 toward the open ladder and potential resource gathering.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the fountain at (-2, 3) to top off Drink levels before d ...<snip>"
1450,predict_history_k5,predict,ok,1.851964,16776,867,7371,206,7577,,"Headline: Navigating the dungeon to locate the open ladder for floor descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the fountain at (-2, 3) to top off Drink stats while exploring t ...<snip>"
2180,predict_state_only,predict,ok,1.647722,8035,771,2499,199,2698,,"Headline: Prioritizing the open ladder to descend from Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the Snails at (2,0) and (4,-1) to clear the path and potentially gain food or  ...<snip>"
2180,predict_history_k5,predict,ok,1.941571,16910,846,7402,209,7611,,"Headline: Navigating Floor 1 to locate the open ladder and manage minor threats.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the Snails at (2,0) and (4,-1) to clear the immediate path an ...<snip>"
2195,predict_state_only,predict,ok,1.791497,8018,813,2495,200,2695,,"Headline: Floor 2 exploration and mob hunting to unlock the descent ladder.  Meaningful events (ordered): 1. [t+1 to t+6] With health and vitals nearly maxed, the player moves away from the ladder_up (0,0) to exp ...<snip>"
2195,predict_history_k5,predict,ok,1.905265,17198,894,7478,208,7686,,"Headline: Exploring Floor 2 to trigger the next ladder descent.  Meaningful events (ordered): 1. [t+1 to t+7] The player moves away from the ladder_up (0,0) to explore the surrounding paths, likely heading toward ...<snip>"
