t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,oracle_privileged,oracle,ok,15.391625,1784543,2492,1008277,638,1008915,,Headline: From Overworld Survival to Dungeon Depths: A Journey Ending in the Gnomish Mines  Meaningful events (ordered): 1. [t+6] Gathers first Wood resource. 2. [t+28] Places a Crafting Table in the overworld. 3 ...<snip>
0,oracle_next15,oracle,ok,1.966996,7255,984,3483,227,3710,,Headline: Gathering Wood and Exploring the Surface  Meaningful events (ordered): 1. [t+5] The player harvests their first unit of Wood from a nearby tree. 2. [t+10] A second unit of Wood is collected after moving ...<snip>
283,oracle_privileged,oracle,ok,17.022831,1764924,2415,995705,597,996302,,Headline: A Deep Descent Ends in a Dark Dungeon Ambush  **Meaningful events (ordered):** 1. **[t+2]** Consumed remaining food to restore hunger before descending. 2. **[t+14]** Located and used the ladder to desc ...<snip>
283,oracle_next15,oracle,ok,3.187143,17746,1104,10239,264,10503,,"Headline: The player harvests a cow and mines stone before descending into the dungeon.  Meaningful events (ordered): 1. [t+1] The player kills and eats a cow, significantly restoring their Food stat from 2 to 8. ...<snip>"
298,oracle_privileged,oracle,ok,20.011358,1759966,2237,992597,508,993105,,"Headline: A Descent into Darkness: Resource Gathering and a Fatal Encounter on Floor 2  Meaningful events (ordered): 1. [t+16] The player loots a chest, obtaining a bow, ruby, and green potions. 2. [t+108] An Orc ...<snip>"
298,oracle_next15,oracle,ok,3.477636,28413,1274,16182,298,16480,,Headline: Looting a Chest and Navigating the Dungeon  Meaningful events (ordered): 1. [t+2] The player spots a Snail and a chest in the lower-right corridor. 2. [t+3-t+6] The player moves south through the dungeo ...<snip>
650,oracle_privileged,oracle,ok,21.513656,1467392,1926,824814,472,825286,,"Headline: A long survival journey through Floor 1 ends in a fatal confrontation on Floor 2.  Meaningful events (ordered): 1. [t+42] Kills an Orc Mage on Floor 1, gaining a significant reward. 2. [t+166] Kills ano ...<snip>"
650,oracle_next15,oracle,ok,3.368568,28858,1537,16327,352,16679,,Headline: Cautious Maneuvering and Health Recovery Amidst Orc Mage Threats  Meaningful events (ordered): 1. [t+2] The player's thirst increases as they begin a series of rapid directional changes. 2. [t+4] An Orc ...<snip>
1000,oracle_privileged,oracle,ok,14.569628,1169681,2485,656065,581,656646,,"Headline: Resource gathering and elite gear crafting cut short by a deadly descent into the dungeon depths.  Meaningful events (ordered): 1. [t+62] Encounters an Orc Mage on Floor 1, initiating a long period of c ...<snip>"
1000,oracle_next15,oracle,ok,2.919572,29323,1143,16482,258,16740,,"Headline: Dungeon Exploration and Navigating Around a Snail  Meaningful events (ordered): 1. [t+1] The player moves right, passing a fountain and the ladder leading back to the surface. 2. [t+5] After reaching a  ...<snip>"
