t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,106.793414,6789,782,1716,181,1897,,"Headline: Securing early resources and preparing for ladder ascent.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearest trees to gather wood, using the wooden pickaxe to mine stone f ...<snip>"
0,predict_history_k5,predict,ok,3.749573,7380,697,1944,165,2109,,"Headline: Immediate ladder use and resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player uses the ladder to descend to floor 1, as it is open and progression is prioritized. 2. [ ...<snip>"
283,predict_state_only,predict,ok,3.572327,7188,679,1936,158,2094,,Headline: Securing a crafting table and upgrading tools on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearby stone tiles to gather more stone and locate a crafting table. 2 ...<snip>
283,predict_history_k5,predict,ok,4.892601,11124,907,3933,210,4143,,"Headline: Probing for ladder and resources on floor 0  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the path and checks for the ladder, which is already open. The player will likely  ...<snip>"
298,predict_state_only,predict,ok,3.760803,7949,703,2374,165,2539,,"Headline: Ladder acquisition and early resource refinement on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0, 0) and investigates the nearby fountain for drink rep ...<snip>"
298,predict_history_k5,predict,ok,5.266229,13492,949,5314,224,5538,,"Headline: Descending to floor 1 and securing resources in the dark.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves upward to explore the dark area, likely seeking the ladder or resources. The play ...<snip>"
1310,predict_state_only,predict,ok,3.496424,8012,582,2407,153,2560,,"Headline: Using the open ladder to descend to floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends using the open ladder at (0, -4) to reach floor 2. 2. [t+6 to t+11] The player explores flo ...<snip>"
1310,predict_history_k5,predict,ok,4.598251,16612,753,7017,187,7204,,"Headline: Probing for ladder and resources in floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right, exploring the path at -2, -4 and approaching the ladder at -1, -4. 2. [t+6 t ...<snip>"
1450,predict_state_only,predict,ok,3.772744,8032,680,2419,165,2584,,"Headline: Ascending the ladder and upgrading tools on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor 1, where they find a stone pickaxe and start gathering resources ...<snip>"
1450,predict_history_k5,predict,ok,4.792441,16776,884,7102,196,7298,,"Headline: Proceeding toward the ladder while managing resources and health.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left, navigating through dark paths and walls, aiming to find  ...<snip>"
2180,predict_state_only,predict,ok,3.366018,8035,600,2413,147,2560,,"Headline: Using the open ladder to descend to floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends down the ladder to floor 2, using the open ladder as it is available. 2. [t+6 to t+11] The  ...<snip>"
2180,predict_history_k5,predict,ok,4.612585,16910,854,7140,185,7325,,"Headline: Proceeding toward the ladder while managing resources and potential threats.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves down toward the ladder, avoiding dark areas and potential mobs ...<snip>"
2195,predict_state_only,predict,ok,4.317922,8018,843,2388,190,2578,,"Headline: Ladder acquisition and early resource refinement on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0,0) and investigates the path leading to it, gathering  ...<snip>"
2195,predict_history_k5,predict,ok,4.335057,17198,763,7158,175,7333,,Headline: Preparing for ladder access on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left toward the ladder on path and checks for nearby resources or enemies. 2. [t+6 to t+11] The pla ...<snip>
